sample,seed,contrast,q,N,predicted,effect,se
Q1,20260928,food-cash,2,356,-0.046895157498041774,-0.033190173058294595,0.02943529965099877
Q1,20260928,food-cash,3,356,-0.021838955459133457,-0.0431927307606797,0.028498204615369303
Q1,20260928,food-cash,4,356,0.002073954249836133,-0.04670936112381738,0.030000115459707582
Q1,20260928,food-cash,5,356,0.03903554260805629,-0.010038937736764566,0.028974063848943382
Q1,20260928,medical-cash,1,363,-0.1316254653085106,-0.08829987016275972,0.027460624314523993
Q1,20260928,medical-cash,2,363,-0.09238472392173835,-0.12387040648910856,0.02893262012404275
Q1,20260928,medical-cash,3,362,-0.06657553532398186,-0.07848442048572796,0.02648338421681216
Q1,20260928,medical-cash,4,363,-0.04117514556227542,-0.006741067196738712,0.026338065312964967
Q1,20260928,medical-cash,5,363,-0.0014575954655702498,-0.032782273876332375,0.02750546040389369
Q1,20260929,food-cash,1,357,-0.08485044231870073,0.03239079149847603,0.029589404511807103
Q1,20260929,food-cash,2,356,-0.045529280293963484,-0.03168495796027512,0.02958030416124104
Q1,20260929,food-cash,3,356,-0.02201407615640026,-0.010538850101792835,0.03080766755663922
Q1,20260929,food-cash,4,356,0.0020520120323477345,-0.11679395329730129,0.02857525011686388
Q1,20260929,food-cash,5,356,0.040354145621934664,0.013728673728979979,0.02941345955169632
Q1,20260929,medical-cash,1,363,-0.13075676898600966,-0.10062687707342396,0.030032896236503286
Q1,20260929,medical-cash,2,363,-0.09186668642695514,-0.05836038774888696,0.027381261133608448
Q1,20260929,medical-cash,3,362,-0.06790324888815216,-0.08487329898069519,0.026797706163970487
Q1,20260929,medical-cash,4,363,-0.04122070865859452,-0.05175507656918666,0.025424275387099175
Q1,20260929,medical-cash,5,363,-0.0006120662985863346,-0.03332635315913296,0.027066683416661495
Q2,20260925,food-cash,1,164,-0.07162075631577505,0.006815347664193544,0.05028764476732771
Q2,20260925,food-cash,2,164,-0.026193268398043177,-0.01157601077141676,0.04698892690293408
Q2,20260925,food-cash,3,163,0.003833830799906878,-0.02327485554166991,0.04699438521625103
Q2,20260925,food-cash,4,164,0.03330306406348186,-0.052422669593827485,0.046398395059650197
Q2,20260925,food-cash,5,164,0.07328104992114952,0.0677785496488917,0.04534079909868954
Q2,20260925,medical-cash,1,159,-0.12352066905570123,-0.021404025388605124,0.041953282869460214
Q2,20260925,medical-cash,2,158,-0.0804386511013435,-0.1085200604781491,0.04850608162362114
Q2,20260925,medical-cash,3,158,-0.05137417063021716,-0.0851318718729649,0.0470362375971398
Q2,20260925,medical-cash,4,158,-0.02734760672567317,-0.031452616000433274,0.04098710926435633
Q2,20260925,medical-cash,5,158,0.0027455522171079025,-0.053746406517196005,0.036090425774235
Q2,20260926,food-cash,1,164,-0.06880959169205797,0.019780938188668162,0.04896102611581236
Q2,20260926,food-cash,2,164,-0.0290084639185017,-0.025658504679552233,0.04595204556532109
Q2,20260926,food-cash,3,163,0.0035010769774772277,0.0014668725481706735,0.04326916254658261
Q2,20260926,food-cash,4,164,0.028034907025674575,-0.02306494167711819,0.04930196607611333
Q2,20260926,food-cash,5,164,0.06703513366611487,0.023965113502546778,0.04900716429364426
Q2,20260926,medical-cash,1,159,-0.12899727390285304,-0.06158486820664283,0.044076873233854744
Q2,20260926,medical-cash,2,158,-0.0848149106730594,-0.03679893829932158,0.04757412159137313
Q2,20260926,medical-cash,3,158,-0.05651395453452862,-0.03833473726991992,0.03804903450695539
Q2,20260926,medical-cash,4,158,-0.03240775719544969,-0.06629747992119484,0.0441808253436197
Q2,20260926,medical-cash,5,158,0.008781128459662118,-0.09225534748631838,0.04163260254138135
Q2,20260927,food-cash,1,164,-0.07783104687859893,0.04692500399166323,0.04553168541468773
Q2,20260927,food-cash,2,164,-0.031001828872272846,0.03704812840180023,0.04547180915551389
Q2,20260927,food-cash,3,163,-0.0004496391693346109,-0.09229071613865134,0.05030869266617924
Q2,20260927,food-cash,4,164,0.03148689792249439,0.009888905579802921,0.04895730651726948
Q2,20260927,food-cash,5,164,0.07548049203772256,-0.012728957110397354,0.0467842901230641
Q2,20260927,medical-cash,1,159,-0.12030196251489686,-0.036203297657345264,0.04667305651298071
Q2,20260927,medical-cash,2,158,-0.08344795638765078,-0.07607246653047198,0.04802193132190767
Q2,20260927,medical-cash,3,158,-0.05443387491475358,-0.0924275093185372,0.04116751578141776
Q2,20260927,medical-cash,4,158,-0.030758991699500977,-0.11811901551047274,0.03960207165819904
Q2,20260927,medical-cash,5,158,0.004494422622562216,0.016976495914134207,0.03901657670181777
Q2,20260928,food-cash,1,164,-0.0770189608225661,0.12980530175046925,0.04556101557610976
Q2,20260928,food-cash,2,164,-0.025169048520428637,-0.09229348818949186,0.045259231241576804
Q2,20260928,food-cash,3,163,0.0046654941296693205,-0.03128078364305094,0.050461675051423995
Q2,20260928,food-cash,4,164,0.031813269470980614,-0.06511587433291048,0.04499272933330379
Q2,20260928,food-cash,5,164,0.0741856014782527,0.04303943834481728,0.04829476455708869
Q2,20260928,medical-cash,1,159,-0.11785991712601837,-0.10264173560937476,0.04370464912089664
Q2,20260928,medical-cash,2,158,-0.08044301702813565,-0.015364441367877967,0.04767987620617777
Q2,20260928,medical-cash,3,158,-0.056961504040754535,-0.11510849538085635,0.04484306998645506
Q2,20260928,medical-cash,4,158,-0.03434743896833855,-0.02281975395931954,0.04218332602117689
Q2,20260928,medical-cash,5,158,0.0015788557404102911,-0.043281567791324776,0.03635210655039332
Q2,20260929,food-cash,1,164,-0.07220890821188557,-0.031004929643081387,0.05017989053200165
Q2,20260929,food-cash,2,164,-0.027453514794346393,0.00565999965144021,0.0476747388571613
Q2,20260929,food-cash,3,163,0.00036216584285206306,-0.001953424251050031,0.04334926103840654
Q2,20260929,food-cash,4,164,0.029564503400713,0.013577692379484854,0.04508013276050539
Q2,20260929,food-cash,5,164,0.07275964296488646,0.004375505540344677,0.04956563686410943
Q2,20260929,medical-cash,1,159,-0.12147055022423536,-0.01533351330426392,0.04375077080079395
Q2,20260929,medical-cash,2,158,-0.08013131195573754,-0.1227502636829339,0.0427963013859797
Q2,20260929,medical-cash,3,158,-0.0532856500365411,-0.07527108945532447,0.048319509926080736
Q2,20260929,medical-cash,4,158,-0.03227522075481128,-0.03889833133396472,0.0426891162865253
Q2,20260929,medical-cash,5,158,0.002094070300429492,-0.044622334724365456,0.03753484061659467
