contrast,feature_set,method,quintile,N,treated_N,control_N,effect,se,lo,hi,predicted
food-cash,ALL,t,1,727,387,340,0.017248442012463866,0.021237401710706174,-0.024376865340520235,0.05887374936544797,-0.07650119008020838
food-cash,ALL,t,2,727,369,358,-0.04097174910296586,0.019341849000331552,-0.07888177314361569,-0.0030617250623160217,-0.039820700868887705
food-cash,ALL,t,3,726,368,358,-0.0106570318192859,0.018614355330725342,-0.04714116826750757,0.025827104628935768,-0.018551897839090396
food-cash,ALL,t,4,727,349,378,-0.037288321887175735,0.01900383133053147,-0.07453583129501742,-4.08124793340528e-05,0.0018619567533393886
food-cash,ALL,t,5,727,363,364,-0.028222535040716867,0.02029179038470176,-0.06799444419473231,0.01154937411329858,0.04072427298559776
food-cash,ALL,dr,1,727,380,347,0.015864742909146023,0.02134697127746087,-0.02597532079467728,0.057704806612969325,-0.085095017455081
food-cash,ALL,dr,2,727,397,330,-0.02739600030532016,0.019489495134583742,-0.0655954107691043,0.01080341015846397,-0.04288027261282535
food-cash,ALL,dr,3,726,356,370,-0.022979805648344953,0.018375839047878064,-0.05899645018218596,0.013036838885496053,-0.017837279862214117
food-cash,ALL,dr,4,727,333,394,-0.023417707047148628,0.01953698265075276,-0.06171019304262403,0.014874778948326776,0.005497782588423162
food-cash,ALL,dr,5,727,370,357,-0.04163941252176545,0.020083757709124725,-0.08100357763164992,-0.0022752474118809887,0.04417295277422281
food-cash,ALL,r,1,727,392,335,0.03063946847395671,0.020632891129976953,-0.009800998140798114,0.07107993508871153,-0.08481874389223283
food-cash,ALL,r,2,727,351,376,-0.04042856276898832,0.01843030607456764,-0.07655196267514089,-0.004305162862835742,-0.0417686420175639
food-cash,ALL,r,3,726,367,359,-0.029101614384492214,0.019697200897648745,-0.06770812814388374,0.009504899374899324,-0.016897377401010542
food-cash,ALL,r,4,727,350,377,-0.02605778704054565,0.020356316713314556,-0.06595616779864218,0.013840593717550878,0.007373415377041214
food-cash,ALL,r,5,727,376,351,-0.030424471115960527,0.019409164901767514,-0.06846643432342486,0.007617492091503801,0.04805706357387252
medical-cash,O,dr,1,733,353,380,-0.08113351722081405,0.019417172054580954,-0.11919117444779272,-0.04307585999383538,-0.12501298670509162
medical-cash,O,dr,2,732,385,347,-0.026495377821026206,0.01984676542735157,-0.06539503805863528,0.012404282416582868,-0.06991994086706665
medical-cash,O,dr,3,732,373,359,-0.06199209152620852,0.018685815723886882,-0.09861629034502681,-0.025367892707390233,-0.04197648391437357
medical-cash,O,dr,4,732,377,355,-0.01598012478051336,0.017739557113122376,-0.050749656722233215,0.018789407161206494,-0.016107488189738478
medical-cash,O,dr,5,732,375,357,-0.057967507002801094,0.018311131325176633,-0.0938573244001473,-0.022077689605454892,0.02604411310010308
medical-cash,O_needs,dr,1,733,365,368,-0.09565496575342464,0.019476770806408774,-0.13382943653398582,-0.05748049497286344,-0.12600314906517568
medical-cash,O_needs,dr,2,732,376,356,-0.056190981353095915,0.01930667186389053,-0.09403205820632135,-0.01834990449987048,-0.0748006209697406
medical-cash,O_needs,dr,3,732,385,347,-0.042488678468505514,0.018563224484263497,-0.07887259845766197,-0.006104758479349062,-0.045940732232212116
medical-cash,O_needs,dr,4,732,359,373,-0.026241906696438583,0.017997423231415493,-0.06151685623001295,0.009033042837135782,-0.017259317632957086
medical-cash,O_needs,dr,5,732,378,354,-0.023245673033808673,0.018705694024957347,-0.05990883332272507,0.013417487255107725,0.028797772301081923
medical-cash,S,dr,1,733,370,363,-0.0511402725039089,0.020219104713084576,-0.09076971774155468,-0.01151082726626313,-0.12916662080476332
medical-cash,S,dr,2,732,367,365,-0.04089246388712628,0.019743705330027915,-0.07959012633398099,-0.0021948014402715654,-0.07780331535723763
medical-cash,S,dr,3,732,402,330,-0.01370985979194933,0.017736212488432736,-0.048472836269277494,0.021053116685378834,-0.04838260444673132
medical-cash,S,dr,4,732,373,359,-0.060679613463075155,0.017972257614226942,-0.09590523838695997,-0.02545398853919035,-0.01853020353967572
medical-cash,S,dr,5,732,351,381,-0.07524003409830177,0.018289097778514677,-0.11108666574419053,-0.039393402452413004,0.028485286116111116
medical-cash,A,dr,1,733,384,349,-0.08500141774116526,0.020108120794982042,-0.12441333449933006,-0.045589500983000464,-0.141732376259341
medical-cash,A,dr,2,732,386,346,-0.05731490910179998,0.019117314832652436,-0.09478484617379876,-0.019844972029801206,-0.08357490481595146
medical-cash,A,dr,3,732,367,365,-0.053742674778843647,0.019181577333822353,-0.09133856635313546,-0.01614678320455183,-0.04920405887270261
medical-cash,A,dr,4,739,384,355,-0.033914869424882615,0.0184120987962097,-0.07000258306545362,0.002172844215688398,-0.016251328300248856
medical-cash,A,dr,5,725,342,383,-0.016943222939856173,0.01752618073402783,-0.05129453717855072,0.01740809129883837,0.03285248004842274
medical-cash,ALL,t,1,733,385,348,-0.11100350798626663,0.02083098781200857,-0.15183224409780344,-0.07017477187472983,-0.11733222868003206
medical-cash,ALL,t,2,732,358,374,-0.060366937531741965,0.01894326349680355,-0.09749573398547692,-0.023238141078007007,-0.07328655475595955
medical-cash,ALL,t,3,732,375,357,-0.04364761904761902,0.01761687673906482,-0.07817669745618606,-0.009118540639051972,-0.04731072724137567
medical-cash,ALL,t,4,732,403,329,-0.02190127991432042,0.017619730602168072,-0.05643595189456984,0.012633392065928999,-0.02304068966090247
medical-cash,ALL,t,5,732,342,390,-0.009017094017093996,0.01879970137607899,-0.045864508714208815,0.027830320680020823,0.015912096097808515
medical-cash,ALL,dr,1,733,381,352,-0.08920734162491048,0.021080147581235897,-0.13052443088413285,-0.04789025236568812,-0.12726785245024197
medical-cash,ALL,dr,2,732,386,346,-0.06423148342268412,0.018728694384639945,-0.1009397244165784,-0.027523242428789826,-0.07636773642153648
medical-cash,ALL,dr,3,732,377,355,-0.013316023461725196,0.01811209716607362,-0.04881573390722949,0.0221836869837791,-0.04704749018129472
medical-cash,ALL,dr,4,732,363,369,-0.0349823064346346,0.018123717309805207,-0.07050479236185281,0.0005401794925836076,-0.020282768172823127
medical-cash,ALL,dr,5,732,356,376,-0.04641704518288317,0.01788728985281948,-0.08147613329440935,-0.011357957071356992,0.020161094418833278
medical-cash,ALL,r,1,733,366,367,-0.09789889221423145,0.020375948553006305,-0.13783575137812382,-0.0579620330503391,-0.13006347412735447
medical-cash,ALL,r,2,732,381,351,-0.04390492855059783,0.019182959269568988,-0.08150352871895304,-0.0063063283822426125,-0.0786015246090313
medical-cash,ALL,r,3,732,390,342,-0.022044534412955452,0.018895245350444366,-0.05907921529982641,0.014990146473915507,-0.04873890691577776
medical-cash,ALL,r,4,732,372,360,-0.033691756272401424,0.017339631799160905,-0.0676774345987568,0.0002939220539539475,-0.021406447562813534
medical-cash,ALL,r,5,732,354,378,-0.04875123307326698,0.01805339726306048,-0.08413589170886551,-0.013366574437668442,0.018656016407331933
medical-food,O,dr,1,740,393,347,-0.01983394563360244,0.018734717689270975,-0.05655399230457355,0.01688610103736867,-0.11240652274348913
medical-food,O,dr,2,740,373,367,-0.037939674631641246,0.018184757812744114,-0.07358179994461972,-0.0022975493186627796,-0.0588827374810176
medical-food,O,dr,3,739,364,375,-0.028418498168498174,0.018572655607486745,-0.06482090315917219,0.007983906822175847,-0.027341982022546354
medical-food,O,dr,4,740,350,390,-0.019102564102564085,0.0181247044122212,-0.05462698475051764,0.016421856545389468,0.0010829465401441306
medical-food,O,dr,5,740,383,357,-0.042649070071892975,0.018366192491149364,-0.07864680735454573,-0.006651332789240225,0.049122890643448894
medical-food,O_needs,dr,1,740,394,346,-0.029746046184090852,0.018891057344346495,-0.06677251857900998,0.007280426210828278,-0.11573858293644548
medical-food,O_needs,dr,2,740,362,378,-0.04436442164342716,0.018383336091934495,-0.08039576038361877,-0.008333082903235547,-0.06277181916922499
medical-food,O_needs,dr,3,739,362,377,-0.039132911763412825,0.018040581550370496,-0.07449245160213899,-0.0037733719246866512,-0.03256856537330486
medical-food,O_needs,dr,4,740,370,370,-0.02128378378378379,0.018359764780681645,-0.057268922753919815,0.014701355186352238,-0.002813446286963849
medical-food,O_needs,dr,5,740,375,365,-0.014873972602739732,0.01817910554688792,-0.050505019474640055,0.02075707426916059,0.04902872333979529
medical-food,S,dr,1,740,352,388,-0.030088009606373006,0.01877945380918372,-0.0668957390723731,0.006719719859627091,-0.10177692111816457
medical-food,S,dr,2,740,383,357,-0.03577169771302774,0.018378758317843417,-0.07179406401600083,0.00025066858994535895,-0.05248738971725834
medical-food,S,dr,3,742,366,376,-0.04647570049994182,0.017741335481480564,-0.08124871804364373,-0.011702682956239913,-0.02460475229873871
medical-food,S,dr,4,739,401,338,-0.009595832902949769,0.01894496296740037,-0.0467279603190545,0.02753629451315496,0.001975421746616327
medical-food,S,dr,5,738,361,377,-0.025956303224905802,0.017956039503552835,-0.061150140651869356,0.009237534202057751,0.04183863857791716
medical-food,A,dr,1,740,380,360,-0.05254751461988305,0.019209921822110086,-0.09019896139121883,-0.01489606784854728,-0.11192999573717564
medical-food,A,dr,2,740,379,361,-0.08793972328404678,0.018156731334731807,-0.12352691670012113,-0.05235252986797244,-0.06261961801385729
medical-food,A,dr,3,739,366,373,-0.000901895720710838,0.018453845370915684,-0.03707143264770558,0.0352676412062839,-0.030645408684900854
medical-food,A,dr,4,740,366,374,-0.018628546798749285,0.01795720958265137,-0.05382467758074597,0.016567583983247397,0.0008565457734968334
medical-food,A,dr,5,740,372,368,0.010899514960261786,0.017970226641664862,-0.02432212925740134,0.04612115917792491,0.04855313663185234
medical-food,ALL,t,1,740,365,375,-0.03901004566210045,0.01956320562882214,-0.07735392869459184,-0.0006661626296090573,-0.09208261982619736
medical-food,ALL,t,2,740,390,350,-0.02289560439560437,0.017737542265502528,-0.05766118723598932,0.011869978444780584,-0.052823010298503656
medical-food,ALL,t,3,739,373,366,-0.021480683865863853,0.018390154150515297,-0.057525386000873834,0.014564018269146127,-0.03036264366193232
medical-food,ALL,t,4,740,361,379,-0.02646123710888104,0.01790685385832758,-0.061558670671203096,0.008636196453441013,-0.008497198850096734
medical-food,ALL,t,5,740,374,366,-0.03753762309692879,0.018141679176125265,-0.07309531428213431,-0.0019799319117232705,0.02909998074969012
medical-food,ALL,dr,1,740,378,362,-0.04098153994562828,0.019219942521409347,-0.07865262728759059,-0.003310452603665963,-0.10210897748736435
medical-food,ALL,dr,2,740,366,374,-0.04732108938955615,0.018581695615813514,-0.08374121279655064,-0.010900965982561663,-0.05757462738069435
medical-food,ALL,dr,3,739,378,361,-0.023293980565448652,0.018212696406269765,-0.05899086552173739,0.012402904390840089,-0.031671983505322264
medical-food,ALL,dr,4,740,364,376,-0.0033032791676408657,0.01670016475077307,-0.03603560207915608,0.029429043743874346,-0.005975582397103102
medical-food,ALL,dr,5,740,377,363,-0.03500120569086082,0.018981296439471853,-0.07220454671222565,0.002202135330504014,0.037698882312789735
medical-food,ALL,r,1,740,387,353,-0.04037156597931352,0.0199920498434649,-0.07955598367250472,-0.0011871482861223123,-0.10416126278351132
medical-food,ALL,r,2,740,374,366,-0.04084626398994767,0.01856561814438133,-0.07723487555293507,-0.004457652426960272,-0.05819030685229918
medical-food,ALL,r,3,739,377,362,-0.019354419156762476,0.018066904882718574,-0.054765552726890876,0.016056714413365925,-0.03200289982201382
medical-food,ALL,r,4,740,357,383,-0.01760884510462149,0.017439184874692128,-0.05178964745901806,0.01657195724977508,-0.005907238327058626
medical-food,ALL,r,5,740,368,372,-0.03360799438990181,0.01761243278608357,-0.0681283626506256,0.000912373870821992,0.039824948112308016
