variable,family,coding,effect_or_wald,se,lo,hi,p,incremental_adjusted_r2
q05_trust_soc,attitudes,per_SD,0.0015922238448475962,0.0036454874878212003,-0.005552800337373355,0.008737248027068548,0.6622812863953406,-0.00014251608696924656
q08_support,attitudes,per_SD,0.004952066647829713,0.003765844595269357,-0.002428853130273043,0.01233298642593247,0.18851159767567582,0.00018939429564313048
q12_voice,attitudes,per_SD,-0.0009307525395165328,0.003715625378851852,-0.008213244462109156,0.00635173938307609,0.802203122437968,-0.00016772540907949995
q16_fut_society,attitudes,per_SD,0.0038532622569018727,0.003689409359157138,-0.0033778472112711184,0.011084371725074864,0.2962949582827554,4.3403219496918055e-05
q17d_fut_fair,attitudes,per_SD,-0.0013470590315597573,0.003647075076280142,-0.008495194829982506,0.005801076766862992,0.7118644394540622,-0.00015339598739261273
q21_order,attitudes,per_SD,0.009059981693324878,0.0035949355458399163,0.0020140374967358016,0.016105925889913955,0.01172858412244923,0.0010587715736996017
q22_vitality,attitudes,per_SD,0.004103798948448045,0.003692766797329385,-0.003133890977622871,0.011341488874518961,0.26643606921009855,7.346184674705825e-05
q43_edu,objective,factor_omnibus,27.35778002362681,,,,1.6827777677941412e-05,0.004350793609838477
income_h,objective,factor_omnibus,49.63809504989099,,,,1.643387630639825e-09,0.00837524906296927
q28_hhsize,needs,factor_omnibus,46.437403250017965,,,,7.3979277858217864e-09,0.006936849412237156
q29_foodexp,needs,factor_omnibus,124.44965658087068,,,,3.5796144684617475e-25,0.025733860750828952
q30_medexp,needs,factor_omnibus,76.01692031833718,,,,5.706155939244053e-15,0.013239108379449194
q49_citytier,objective,factor_omnibus,12.435000600175877,,,,0.01439331198239973,0.0014548665461113774
q41_gender,objective,factor_omnibus,10.969809456830005,,,,0.0009260828209345375,0.0018071796122210992
q23_hukou,objective,factor_omnibus,25.389207730581212,,,,3.0676343443212764e-06,0.004176254798960999
q24_workstat,objective,factor_omnibus,33.54437913866679,,,,9.239991201027539e-07,0.005043014337854146
q25_unittype,objective,factor_omnibus,56.30887483665768,,,,8.200424603909399e-10,0.008831493741545682
q26_housing,objective,factor_omnibus,31.302078883734243,,,,1.5952910707582013e-07,0.0046294331289752355
q27_minorchild,needs,factor_omnibus,5.034096062732794,,,,0.02485305350165788,0.0007305001313517856
q31_gotsubsidy,objective,factor_omnibus,19.84493622036393,,,,4.905992194324555e-05,0.0032255293839358323
