domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B,panel
expectations,q20_ses_next1,medical,form,-0.013870518,-0.032537696044892,-0.026793935522437,-0.0215248232707381,-0.0133142634294927,-0.0062001592013984,0.0011377294897101,0.0072358362725935,-0.015150811,True,300,A
social_wellbeing,q12_voice,cash,form,0.025646387,0.0022739789099432,0.0105394628830254,0.0182233187370002,0.0253784283995628,0.0332701634615659,0.043712367862463,0.0504861301742494,0.0078061693,True,300,A
social_wellbeing,q12_voice,food,form,0.0013570391,-0.0236265126615762,-0.0156830603256821,-0.0068459467729553,0.001915558357723,0.0114245195873081,0.01744683124125,0.025222480809316,0.0078061693,True,300,A
social_wellbeing,q12_voice,medical,form,0.0071436544,-0.0146829540142789,-0.0071173641365021,-3.237394594179932e-05,0.0071647423319518,0.0144526103977113,0.0208741173148155,0.0292412102688103,0.0078061693,True,300,A
expectations,q16_fut_society,cash,form,0.028819002,0.0043446164927445,0.0119321092963218,0.0193045916967093,0.029057334177196,0.0366944707930088,0.0451864793896675,0.0533842367120087,0.014452391,True,300,A
expectations,q16_fut_society,food,form,0.024097038,-0.0003669265352073,0.0089971299283206,0.016221925150603,0.0225583212450146,0.0316122155636549,0.038842824101448,0.0494622566737234,0.014452391,True,300,A
expectations,q16_fut_society,medical,form,-0.011321721,-0.0323755173943936,-0.0270415963605046,-0.0198507742024958,-0.0108951702713966,-0.0026114263455383,0.0037904978031292,0.0109729922842234,0.014452391,True,300,A
social_wellbeing,q21_order,cash,form,0.02020657,-0.0001310682957409,0.0048564449883997,0.0112319157924503,0.0207057250663638,0.0282249231822788,0.0351151596754789,0.0435267830267548,0.018108137,True,300,A
social_wellbeing,q21_order,food,form,0.0061259535,-0.0144201131537556,-0.0076478656847029,-0.0011282702616881,0.0062212997581809,0.0131751743610948,0.0203378718346357,0.0306740938220172,0.018108137,True,300,A
social_wellbeing,q21_order,medical,form,0.031803805,0.0132179519394412,0.0190593637526035,0.0243201409466564,0.0316800717264413,0.0391093017533421,0.0464034739881753,0.0545425252988934,0.018108137,True,300,A
household_needs,q28_hhsize_2.0,cash,form,-0.008270603,-0.0182621981017291,-0.0148006631061434,-0.0115998422261327,-0.0081911431625485,-0.0048175040865316,-0.0018589465529657,0.0028193985985126,-0.009051544,True,300,A
household_needs,q28_hhsize_2.0,food,form,-0.0101477355,-0.0174655757378786,-0.015768171660602,-0.0129031860269606,-0.0094950343482196,-0.0066094070207327,-0.0036361727397888,0.0005740002176025,-0.009051544,True,300,A
household_needs,q28_hhsize_2.0,medical,form,-0.008652918,-0.0161403082311153,-0.0140573523938655,-0.0110216657631099,-0.0083925756625831,-0.0057152690133079,-0.0034656197298318,-0.0004611114287399,-0.009051544,True,300,A
household_needs,q29_foodexp_1.0,cash,form,-0.014559589,-0.0266459982842206,-0.0227969735860824,-0.0190923050977289,-0.0151570597663521,-0.0108307965565472,-0.006020462559536,-0.0021282944187987,-0.011870358,True,300,A
household_needs,q29_foodexp_1.0,food,form,-0.018226735,-0.0262180710211396,-0.0241584237664937,-0.0214535435661673,-0.018488691188395,-0.0149065377190709,-0.0122808475978672,-0.0092245357809588,-0.011870358,True,300,A
household_needs,q29_foodexp_1.0,medical,form,-0.0021567617,-0.0134459540480747,-0.0098206938244402,-0.0059794733533635,-0.00242637807969,0.0014845049299765,0.0054520241450518,0.0103463665349408,-0.011870358,True,300,A
household_needs,q29_foodexp_2.0,cash,form,-0.0077384138,-0.0172529987525194,-0.0141742332838475,-0.0107485430780798,-0.007415736792609,-0.0039769280701875,-0.0005703228263882,0.0035817836527712,-0.008796903,True,300,A
household_needs,q29_foodexp_2.0,food,form,-0.008063244,-0.0198316786438226,-0.0154792876914143,-0.0119425391312688,-0.0083536612801253,-0.004524850519374,-0.0015655522700399,0.0015120448835659,-0.008796903,True,300,A
household_needs,q29_foodexp_2.0,medical,form,-0.010393403,-0.0182083723600953,-0.0152625134214758,-0.0126751044299453,-0.0097061749547719,-0.0071193717885762,-0.004773415159434,-0.0023231415252666,-0.008796903,True,300,A
household_needs,q29_foodexp_5.0,cash,form,0.020845344,0.0090403399895876,0.012976072076708,0.0171897141262888,0.0214543482288718,0.0250821830704808,0.0293291680514812,0.0349079204723239,0.010620861,True,300,A
household_needs,q29_foodexp_5.0,food,form,0.010980194,0.0003774268872803,0.0038412306690588,0.0072767288656905,0.0116834109649062,0.0148746911436319,0.0187363779172301,0.0222940238658338,0.010620861,True,300,A
household_needs,q29_foodexp_5.0,medical,form,-5.120783e-05,-0.0108107773354277,-0.0069530059117823,-0.0037316222442314,-0.000571260927245,0.0024972290848381,0.006064223870635,0.0091841707471758,0.010620861,True,300,A
household_needs,q29_foodexp_6.0,cash,form,0.015594872,0.0015355265582911,0.0047091225162148,0.0091354351025074,0.0143269947730004,0.0202124849893152,0.0255652733147144,0.0324443748220801,0.02118556,True,300,A
household_needs,q29_foodexp_6.0,food,form,0.03304773,0.0171591150574386,0.0226010460406541,0.0275181955657899,0.0327700860798358,0.0388776566833257,0.0441687241196632,0.0495932827703654,0.02118556,True,300,A
household_needs,q29_foodexp_6.0,medical,form,0.016755076,0.0059109344379976,0.0093043953180313,0.0136144342832267,0.0174314631149172,0.0215857201255857,0.02619454190135,0.0295179876033216,0.02118556,True,300,A
household_needs,q30_medexp_2.0,cash,form,-0.009441412,-0.0200115112122148,-0.0155928631313145,-0.0124758691526949,-0.0085821063257753,-0.0051746184471994,-0.0025277333566918,0.0008415687087108,-0.010216323,True,300,A
household_needs,q30_medexp_2.0,food,form,-0.0074779075,-0.0160539870150387,-0.0143378158099949,-0.0102410146500915,-0.0067272367887198,-0.0040164196398109,-0.0011594711802899,0.0014856464375043,-0.010216323,True,300,A
household_needs,q30_medexp_2.0,medical,form,-0.012841432,-0.0208344285842031,-0.0188476907089352,-0.0158608425408601,-0.0127256400883197,-0.0099764256738126,-0.0075188656337559,-0.0051656860276125,-0.010216323,True,300,A
resources_position,q25_unittype_5.0,cash,form,-0.0071151233,-0.0165137655567377,-0.014033930003643,-0.0102069792337715,-0.0074149803258478,-0.0032734222477301,-3.795216143771452e-05,0.0026388032012619,-0.0073026503,True,300,A
resources_position,q25_unittype_5.0,food,form,-0.0049118074,-0.0141745916334912,-0.0108721918426454,-0.0079667321406304,-0.0043883060570806,-0.0013108153943903,0.0013450785656459,0.0033373467973433,-0.0073026503,True,300,A
resources_position,q25_unittype_5.0,medical,form,-0.0060247686,-0.014974047220312,-0.0123625956475734,-0.0095211961306631,-0.0066057855729013,-0.0034421895979903,-0.0008014626975636,0.0024081158102489,-0.0073026503,True,300,A
resources_position,q25_unittype_8.0,cash,form,0.008436968,-0.0063778578536584,-0.000206502227229,0.0033912476501427,0.0073509693611413,0.0120828172657638,0.0155584200285375,0.0207104100380092,0.009575805,True,300,A
resources_position,q25_unittype_8.0,food,form,0.013534666,0.0014912929269485,0.0052024164237082,0.0086023113690316,0.012417399790138,0.0177784510888159,0.0214348565787076,0.0259376936592161,0.009575805,True,300,A
resources_position,q25_unittype_8.0,medical,form,0.007260139,-0.0043430189485661,-0.0007364799908827,0.0036071926588192,0.0075326280202716,0.0116145585197955,0.0150223944336176,0.018338902760297,0.009575805,True,300,A
demographics_exposure,q31_gotsubsidy_1.0,cash,form,0.011304061,0.0031389676616527,0.0056584275327622,0.0086225147824734,0.0115408259443938,0.0140642239712178,0.0166401946917176,0.0187329038511961,0.007006921,True,300,A
demographics_exposure,q31_gotsubsidy_1.0,food,form,0.0052092387,-0.0036839188134763,0.0002393507573287,0.0027096736012026,0.0052133777644485,0.007753541576676,0.0094753982499241,0.0119929653126746,0.007006921,True,300,A
demographics_exposure,q31_gotsubsidy_1.0,medical,form,0.0051782373,-0.0008064595225732,0.0010998025652952,0.0030390791362151,0.0051244187634438,0.0075827501714229,0.0097207569517195,0.0120750574860721,0.007006921,True,300,A
