sample,variable,family,coding,estimand,se_type,effect,se,lo,hi,p,N,q
R,q09_gain,subjective,trend,medical-cash,HC1,0.05005723772634006,0.055185669339408154,-0.05810468664163623,0.15821916209431636,0.3643700434993895,5497,0.47172861037943814
R,q09_gain,subjective,trend,medical-food,HC1,0.013522308468034844,0.05395201251686535,-0.09222169295847543,0.11926630989454512,0.8020956625968484,5497,0.8166465767948325
R,q09_gain,subjective,trend,food-cash,HC3,0.03653492925830522,0.05775196313784858,-0.07665683852836282,0.14972669704497327,0.5269831541004939,5497,
R,q09_gain,subjective,trend,medical-cash,HC3,0.05005723772634006,0.05542254548388426,-0.05856895535360611,0.15868343080628622,0.3664236389222888,5497,
R,q09_gain,subjective,trend,medical-food,HC3,0.013522308468034844,0.05418824536248391,-0.09268470082785323,0.11972931776392291,0.8029406242479942,5497,
R,q10_effort,subjective,trend,food-cash,HC1,0.027822488576063484,0.05784824860937002,-0.08555799526702101,0.14120297241914798,0.6305474475374871,5497,0.6618890817969858
R,q10_effort,subjective,trend,medical-cash,HC1,0.042849535322168265,0.05525280193666115,-0.06544396651861253,0.15114303716294908,0.43803370963804966,5497,0.47172861037943814
R,q10_effort,subjective,trend,medical-food,HC1,0.015027046746104781,0.05417250759659343,-0.09114911709544082,0.12120321058765038,0.7814787479379408,5497,0.8166465767948325
R,q10_effort,subjective,trend,food-cash,HC3,0.027822488576063484,0.058137161244386074,-0.08612425362633105,0.14176923077845802,0.6322471678150432,5497,
R,q10_effort,subjective,trend,medical-cash,HC3,0.042849535322168265,0.0555212920781879,-0.06597019752620903,0.15166926817054557,0.4402520741546073,5497,
R,q10_effort,subjective,trend,medical-food,HC3,0.015027046746104781,0.054427187894584686,-0.09164828130707561,0.12170237479928517,0.7824754917264709,5497,
R,q11_mobility,subjective,trend,food-cash,HC1,0.03630839526321991,0.05664688194222113,-0.07471745318002586,0.1473342437064657,0.5215485590661075,5497,0.6618890817969858
R,q11_mobility,subjective,trend,medical-cash,HC1,0.11308774590508988,0.05420810323861795,0.0068418158871696305,0.21933367592301012,0.036962513137264875,5497,0.2587375919608541
R,q11_mobility,subjective,trend,medical-food,HC1,0.07677935064186997,0.052038822380332306,-0.02521486702145828,0.17877356830519822,0.14009846728210762,5497,0.8166465767948325
R,q11_mobility,subjective,trend,food-cash,HC3,0.03630839526321991,0.05685315879738799,-0.07512174838699708,0.1477385389134369,0.5230606563940843,5497,
R,q11_mobility,subjective,trend,medical-cash,HC3,0.11308774590508988,0.05440440423680821,0.006457073000587468,0.2197184188095923,0.03764947927566509,5497,
R,q11_mobility,subjective,trend,medical-food,HC3,0.07677935064186997,0.052219648711954635,-0.025569280118894533,0.17912798140263447,0.14147636784033676,5497,
R,q13_pressure,subjective,trend,food-cash,HC1,0.054962908875139556,0.056836242972656784,-0.056434080367835475,0.16635989811811458,0.3335241392243825,5497,0.6618890817969858
R,q13_pressure,subjective,trend,medical-cash,HC1,0.10394501206940268,0.0546833792634279,-0.0032324418398604338,0.2111224659786658,0.05732139780035966,5497,0.2674998564016784
R,q13_pressure,subjective,trend,medical-food,HC1,0.048982103194263125,0.05358054136847426,-0.05603382816010489,0.15399803454863115,0.360623802185708,5497,0.8166465767948325
R,q13_pressure,subjective,trend,food-cash,HC3,0.054962908875139556,0.05707992512023581,-0.05691168860076575,0.16683750635104486,0.3355920033528106,5497,
R,q13_pressure,subjective,trend,medical-cash,HC3,0.10394501206940268,0.0549045507342386,-0.003665929957057154,0.21155595409586253,0.05833196354449434,5497,
R,q13_pressure,subjective,trend,medical-food,HC3,0.048982103194263125,0.053800875703964364,-0.056465675522223056,0.1544298819107493,0.36259409780533847,5497,
R,q15_fut_self,subjective,trend,food-cash,HC1,0.04956075718125906,0.05523609755993994,-0.058700004682763984,0.1578215190452821,0.3695839014288004,5497,0.6618890817969858
R,q15_fut_self,subjective,trend,medical-cash,HC1,0.06874316421536414,0.05410926823925322,-0.03730905276338921,0.17479538119411747,0.20392409049805738,5497,0.3570409385978949
R,q15_fut_self,subjective,trend,medical-food,HC1,0.01918240703410508,0.05275956484378344,-0.08422443989971606,0.12258925396792622,0.7161704683588608,5497,0.8166465767948325
R,q15_fut_self,subjective,trend,food-cash,HC3,0.04956075718125906,0.0554427240104503,-0.05910498508401764,0.15822649944653577,0.37137051246823494,5497,
R,q15_fut_self,subjective,trend,medical-cash,HC3,0.06874316421536414,0.05430698280749891,-0.037696566196369644,0.1751828946270979,0.20557555983873,5497,
R,q15_fut_self,subjective,trend,medical-food,HC3,0.01918240703410508,0.052964432686568946,-0.08462597349316607,0.12299078756137623,0.7172210680887303,5497,
R,q17a_fut_econ,subjective,trend,food-cash,HC1,0.0667186553380216,0.05479569663500843,-0.04067893657437756,0.17411624725042074,0.22338007265371473,5497,0.6618890817969858
R,q17a_fut_econ,subjective,trend,medical-cash,HC1,0.04342117615157519,0.05399640205176516,-0.0624098271646292,0.14925217946777958,0.4213106779227449,5497,0.47172861037943814
R,q17a_fut_econ,subjective,trend,medical-food,HC1,-0.02329747918644641,0.05216366675448837,-0.125536387326793,0.07894142895390018,0.6551474820543579,5497,0.8166465767948325
R,q17a_fut_econ,subjective,trend,food-cash,HC3,0.0667186553380216,0.05500281056643484,-0.04108487242066983,0.17452218309671302,0.22512810971455322,5497,
R,q17a_fut_econ,subjective,trend,medical-cash,HC3,0.04342117615157519,0.054198781695727005,-0.06280648397799846,0.14964883628114883,0.4230467121134359,5497,
R,q17a_fut_econ,subjective,trend,medical-food,HC3,-0.02329747918644641,0.05236112592201715,-0.12592340018356665,0.07932844181067383,0.6563642215121812,5497,
R,q17b_fut_job,subjective,trend,food-cash,HC1,0.030130658055871964,0.05569058675461274,-0.07902088626107238,0.1392822023728163,0.5884822031215142,5497,0.6618890817969858
R,q17b_fut_job,subjective,trend,medical-cash,HC1,0.08434442133295166,0.05347875369981107,-0.0204720098567662,0.1891608525226695,0.11475927281749325,5497,0.3213259638889811
R,q17b_fut_job,subjective,trend,medical-food,HC1,0.05421376327707969,0.052167877223431525,-0.04803339723075349,0.1564609237849129,0.2987036617786091,5497,0.8166465767948325
R,q17b_fut_job,subjective,trend,food-cash,HC3,0.030130658055871964,0.05588330861425618,-0.07939861416500711,0.13965993027675105,0.5897688850540859,5497,
R,q17b_fut_job,subjective,trend,medical-cash,HC3,0.08434442133295166,0.05366177580335128,-0.020830726588079787,0.1895195692539831,0.11600194731124916,5497,
R,q17b_fut_job,subjective,trend,medical-food,HC3,0.05421376327707969,0.05233956638401711,-0.04836990180203715,0.15679742835619653,0.30029153115133733,5497,
R,q17c_fut_price,subjective,trend,food-cash,HC1,0.10084285172396308,0.05526410599459086,-0.0074728056632391154,0.2091585091111653,0.06803965397636554,5497,0.6618890817969858
R,q17c_fut_price,subjective,trend,medical-cash,HC1,0.13797176462026142,0.05363394264189884,0.032851168693252664,0.24309236054727018,0.010097540117371321,5497,0.1413655616431985
R,q17c_fut_price,subjective,trend,medical-food,HC1,0.03712891289629834,0.052543911774712466,-0.06585526178898816,0.14011308758158486,0.4797987059255079,5497,0.8166465767948325
R,q17c_fut_price,subjective,trend,food-cash,HC3,0.10084285172396308,0.05545087214122145,-0.007838860584166385,0.20952456403209255,0.0689727651543272,5497,
R,q17c_fut_price,subjective,trend,medical-cash,HC3,0.13797176462026142,0.05381306341837832,0.032500098422470036,0.2434434308180528,0.010350085962683624,5497,
R,q17c_fut_price,subjective,trend,medical-food,HC3,0.03712891289629834,0.05271777673516317,-0.06619603084964502,0.1404538566422417,0.4812485322669974,5497,
R,q17e_fut_welfare,subjective,trend,food-cash,HC1,0.08303262223577382,0.055757332142463284,-0.026249740637491747,0.19231498510903938,0.13644036138617743,5497,0.6618890817969858
R,q17e_fut_welfare,subjective,trend,medical-cash,HC1,0.06410159897941906,0.05427155743935534,-0.042268698986614256,0.17047189694545237,0.23755229626481433,5497,0.36952579418971115
R,q17e_fut_welfare,subjective,trend,medical-food,HC1,-0.018931023256354762,0.05166363914400957,-0.12018989528888727,0.08232784877617774,0.7140454508666139,5497,0.8166465767948325
R,q17e_fut_welfare,subjective,trend,food-cash,HC3,0.08303262223577382,0.05597157544847887,-0.026669649801211087,0.19273489427275872,0.1379473556632495,5497,
R,q17e_fut_welfare,subjective,trend,medical-cash,HC3,0.06410159897941906,0.05448057314371093,-0.04267836223935448,0.1708815601981926,0.23935698169489072,5497,
R,q17e_fut_welfare,subjective,trend,medical-food,HC3,-0.018931023256354762,0.05184866647275757,-0.120552542189389,0.08269049567667948,0.7150212828887426,5497,
R,q18_ses_now,subjective,trend,food-cash,HC1,0.024220492329836793,0.05538562155448276,-0.08433333117831474,0.13277431583798832,0.6618890817969858,5497,0.6618890817969858
R,q18_ses_now,subjective,trend,medical-cash,HC1,0.03657708936635769,0.053665238579448445,-0.06860484547111072,0.14175902420382608,0.49550531863467684,5497,0.49550531863467684
R,q18_ses_now,subjective,trend,medical-food,HC1,0.012356597036520894,0.05329330166653673,-0.09209635484711953,0.11680954892016132,0.8166465767948325,5497,0.8166465767948325
R,q18_ses_now,subjective,trend,food-cash,HC3,0.024220492329836793,0.05556378856394745,-0.08468253210009874,0.13312351675977233,0.6629061916793817,5497,
R,q18_ses_now,subjective,trend,medical-cash,HC3,0.03657708936635769,0.05383368228321734,-0.06893498906392029,0.14208916779663566,0.4968552027951316,5497,
R,q18_ses_now,subjective,trend,medical-food,HC3,0.012356597036520894,0.0534576229921049,-0.09241841872712503,0.11713161280016682,0.8172001981029284,5497,
R,q19_ses_past5,subjective,trend,food-cash,HC1,0.03967918688735147,0.05487670606307252,-0.06787718058646147,0.14723555436116442,0.46964262192923834,5497,0.6618890817969858
R,q19_ses_past5,subjective,trend,medical-cash,HC1,0.08442447724349106,0.053364325577678944,-0.02016767894802929,0.1890166334350114,0.11364052654732772,5497,0.3213259638889811
R,q19_ses_past5,subjective,trend,medical-food,HC1,0.04474529035613959,0.05213606425784491,-0.05743951788490242,0.1469300985971816,0.39075958679588074,5497,0.8166465767948325
R,q19_ses_past5,subjective,trend,food-cash,HC3,0.03967918688735147,0.055074704908653,-0.06826525119277974,0.1476236249674827,0.47124109300947925,5497,
R,q19_ses_past5,subjective,trend,medical-cash,HC3,0.08442447724349106,0.05355697473025856,-0.020545264348737505,0.1893942188357196,0.11494542206212474,5497,
R,q19_ses_past5,subjective,trend,medical-food,HC3,0.04474529035613959,0.052319064048940274,-0.05779819088462768,0.14728877159690687,0.3924189942069768,5497,
R,q20_ses_next1,subjective,trend,food-cash,HC1,0.02627557005888408,0.05432341603201645,-0.08019636888105394,0.1327475089988221,0.6286074989016481,5497,0.6618890817969858
R,q20_ses_next1,subjective,trend,medical-cash,HC1,0.06814550305288407,0.05365061324238156,-0.037007766650671486,0.17329877275643962,0.20402339348451137,5497,0.3570409385978949
R,q20_ses_next1,subjective,trend,medical-food,HC1,0.04186993299399999,0.05269095111686322,-0.06140243350621245,0.14514229949421242,0.4268274092059432,5497,0.8166465767948325
R,q20_ses_next1,subjective,trend,food-cash,HC3,0.02627557005888408,0.054521110941440236,-0.08058384378345147,0.13313498390121964,0.6298529236743945,5497,
R,q20_ses_next1,subjective,trend,medical-cash,HC3,0.06814550305288407,0.05384864776000218,-0.037395907172903656,0.1736869132786718,0.20569188685204187,5497,
R,q20_ses_next1,subjective,trend,medical-food,HC3,0.04186993299399999,0.052884993594045096,-0.061782749772959875,0.14552261576095987,0.4285258783126673,5497,
R,q01_lifesat,attitudes,trend,food-cash,HC1,0.05066288167275429,0.05658097355033904,-0.060233788696123614,0.1615595520416322,0.37057067554406586,5497,0.8343873281313628
R,q01_lifesat,attitudes,trend,medical-cash,HC1,0.04332820167991869,0.05547992875008335,-0.06541046053509297,0.15206686389493035,0.43481969710765533,5497,0.70658200779994
R,q01_lifesat,attitudes,trend,medical-food,HC1,-0.007334679992835602,0.053401815526511465,-0.11200031513384993,0.09733095514817873,0.8907550293308542,5497,0.9047896944724323
R,q01_lifesat,attitudes,trend,food-cash,HC3,0.05066288167275429,0.05686373079127052,-0.06078798270471725,0.16211374605022583,0.3729546669637065,5497,
R,q01_lifesat,attitudes,trend,medical-cash,HC3,0.04332820167991869,0.05575169310142967,-0.06594310887601365,0.15259951223585103,0.43706209425455544,5497,
R,q01_lifesat,attitudes,trend,medical-food,HC3,-0.007334679992835602,0.053679365967969676,-0.11254430400300122,0.09787494401733002,0.8913163673759569,5497,
R,q02_safety,attitudes,trend,food-cash,HC1,0.06501536453674638,0.05518988596384809,-0.04315482426326854,0.17318555333676128,0.23878447908795897,5497,0.8343873281313628
R,q02_safety,attitudes,trend,medical-cash,HC1,-0.0004847260080597109,0.05448209961335374,-0.10726767905235665,0.10629822703623723,0.992901332758698,5497,0.992901332758698
R,q02_safety,attitudes,trend,medical-food,HC1,-0.06550009054480609,0.051792622355015173,-0.1670117650255199,0.036011583935907726,0.20599300784673924,5497,0.8948552852635475
R,q02_safety,attitudes,trend,food-cash,HC3,0.06501536453674638,0.0554962812082908,-0.04375534790741059,0.17378607698090334,0.24138720912800005,5497,
R,q02_safety,attitudes,trend,medical-cash,HC3,-0.0004847260080597109,0.054767967409673254,-0.10782796963748273,0.10685851762136331,0.9929383841106599,5497,
R,q02_safety,attitudes,trend,medical-food,HC3,-0.06550009054480609,0.05206189008894057,-0.1675395200862124,0.036539338996600224,0.20834846280677333,5497,
R,q03a_fair_dist,attitudes,trend,food-cash,HC1,0.03239661336326898,0.05500881811724614,-0.07541868897864787,0.14021191570518585,0.5559049380349563,5497,0.8343873281313628
R,q03a_fair_dist,attitudes,trend,medical-cash,HC1,0.11138074729120172,0.05323986543227247,0.007032528502188676,0.21572896608021475,0.03643356134235784,5497,0.23681814872532597
R,q03a_fair_dist,attitudes,trend,medical-food,HC1,0.07898413392793274,0.05131734947482405,-0.021596022824777864,0.17956429068064333,0.12377226835177113,5497,0.8948552852635475
R,q03a_fair_dist,attitudes,trend,food-cash,HC3,0.03239661336326898,0.055190560023851795,-0.0757748965700766,0.14056812329661456,0.5572066926233695,5497,
R,q03a_fair_dist,attitudes,trend,medical-cash,HC3,0.11138074729120172,0.05341441770245329,0.006690412339214566,0.21607108224318888,0.03704944531557666,5497,
R,q03a_fair_dist,attitudes,trend,medical-food,HC3,0.07898413392793274,0.05147902520559293,-0.021912901434259044,0.17988116929012454,0.12495650795415934,5497,
R,q03b_fair_opp,attitudes,trend,food-cash,HC1,0.030415687970021206,0.05493842932859026,-0.07726165488121473,0.13809303082125715,0.5798305287054792,5497,0.8343873281313628
R,q03b_fair_opp,attitudes,trend,medical-cash,HC1,0.07720854684080784,0.053080546763310275,-0.02682741309497444,0.18124450677659013,0.1457926420083227,5497,0.4738260865270488
R,q03b_fair_opp,attitudes,trend,medical-food,HC1,0.04679285887078664,0.0513888347703346,-0.05392740648654885,0.14751312422812213,0.3625247774939707,5497,0.8948552852635475
R,q03b_fair_opp,attitudes,trend,food-cash,HC3,0.030415687970021206,0.05512205303182961,-0.07762155072627172,0.13845292666631415,0.5810936027046211,5497,
R,q03b_fair_opp,attitudes,trend,medical-cash,HC3,0.07720854684080784,0.053257355788679156,-0.027173952416839064,0.18159104609845475,0.14713508135651782,5497,
R,q03b_fair_opp,attitudes,trend,medical-food,HC3,0.04679285887078664,0.05155392501374109,-0.05425097741782451,0.1478366951593978,0.3640637956035043,5497,
R,q03c_fair_rule,attitudes,trend,food-cash,HC1,0.03275912774078724,0.054641863273323675,-0.07433695632308907,0.13985521180466357,0.5488232751065028,5497,0.8343873281313628
R,q03c_fair_rule,attitudes,trend,medical-cash,HC1,0.058263273626255385,0.05342146579900453,-0.046440875341131754,0.16296742259364252,0.2754339074115426,5497,0.5967734660583424
R,q03c_fair_rule,attitudes,trend,medical-food,HC1,0.025504145885468142,0.05186870687770254,-0.07615665151949383,0.12716494329043013,0.6229273118931855,5497,0.9039581200139347
R,q03c_fair_rule,attitudes,trend,food-cash,HC3,0.03275912774078724,0.0548424445734736,-0.07473008844735513,0.14024834392892963,0.5502859794637756,5497,
R,q03c_fair_rule,attitudes,trend,medical-cash,HC3,0.058263273626255385,0.05361691873518288,-0.046823956056713925,0.16335050330922468,0.2771878175912814,5497,
R,q03c_fair_rule,attitudes,trend,medical-food,HC3,0.025504145885468142,0.052062836279491875,-0.07653713815534124,0.12754542992627751,0.6242242037298955,5497,
R,q04_trust_gov,attitudes,trend,food-cash,HC1,0.016395653383246358,0.0561286467913511,-0.09361447282877146,0.12640577959526417,0.7702036875058734,5497,0.8343873281313628
R,q04_trust_gov,attitudes,trend,medical-cash,HC1,0.022608913667009536,0.054341745916419236,-0.08389895118619872,0.1291167785202178,0.6773730084945317,5497,0.8805849110428913
R,q04_trust_gov,attitudes,trend,medical-food,HC1,0.006213260283763178,0.051944676032397774,-0.09559643392833742,0.10802295449586377,0.9047896944724323,5497,0.9047896944724323
R,q04_trust_gov,attitudes,trend,food-cash,HC3,0.016395653383246358,0.05636819268319123,-0.09408397414942264,0.12687528091591535,0.7711529555583714,5497,
R,q04_trust_gov,attitudes,trend,medical-cash,HC3,0.022608913667009536,0.054592498563206485,-0.08439041734292982,0.1296082446769489,0.6787718978018201,5497,
R,q04_trust_gov,attitudes,trend,medical-food,HC3,0.006213260283763178,0.052174840439937316,-0.0960475478776379,0.10847406844516426,0.9052077197096462,5497,
R,q05_trust_soc,attitudes,trend,food-cash,HC1,0.05400982575946351,0.05609465229248533,-0.05593367245910492,0.16395332397803195,0.33563094871718313,5497,0.8343873281313628
R,q05_trust_soc,attitudes,trend,medical-cash,HC1,0.11867770147341276,0.05321509291138398,0.014378035933147432,0.2229773670136781,0.02573740902368146,5497,0.23681814872532597
R,q05_trust_soc,attitudes,trend,medical-food,HC1,0.06466787571394925,0.05198874455186601,-0.037228191209161085,0.1665639426370596,0.21354290890358485,5497,0.8948552852635475
R,q05_trust_soc,attitudes,trend,food-cash,HC3,0.05400982575946351,0.05633141243191483,-0.05639771380536141,0.16441736532428844,0.3376660610821365,5497,
R,q05_trust_soc,attitudes,trend,medical-cash,HC3,0.11867770147341276,0.05342930083413242,0.01395819611935735,0.22339720682746816,0.02633673592589814,5497,
R,q05_trust_soc,attitudes,trend,medical-food,HC3,0.06466787571394925,0.0521824171557366,-0.03760778253753953,0.16694353396543804,0.21524714515379584,5497,
R,q08_support,attitudes,trend,food-cash,HC1,0.029606408210585244,0.056893869667599684,-0.08190352727902594,0.14111634370019643,0.6027990370800336,5497,0.8343873281313628
R,q08_support,attitudes,trend,medical-cash,HC1,-0.02469141461516017,0.054911575855665216,-0.1323161256266032,0.08293329639628286,0.6529572538487496,5497,0.8805849110428913
R,q08_support,attitudes,trend,medical-food,HC1,-0.05429782282574541,0.05354629781105153,-0.15924663804086236,0.05065099238937153,0.3105660274733475,5497,0.8948552852635475
R,q08_support,attitudes,trend,food-cash,HC3,0.029606408210585244,0.05714487881694203,-0.08239549617152699,0.14160831259269746,0.6043928161374413,5497,
R,q08_support,attitudes,trend,medical-cash,HC3,-0.02469141461516017,0.05514346703418842,-0.1327706239848412,0.08338779475452088,0.6543214952392942,5497,
R,q08_support,attitudes,trend,medical-food,HC3,-0.05429782282574541,0.053800383179372635,-0.15974463621177032,0.05114899056027948,0.3128566590323649,5497,
R,q12_voice,attitudes,trend,food-cash,HC1,0.024792853251052602,0.05622140096918745,-0.08539906780894009,0.1349847743110453,0.6592230998438194,5497,0.8343873281313628
R,q12_voice,attitudes,trend,medical-cash,HC1,0.0688053054305837,0.05398829845403899,-0.0370098151259322,0.1746204259870996,0.2025045168450903,5497,0.5265117437972349
R,q12_voice,attitudes,trend,medical-food,HC1,0.044012452179531106,0.05376499502702582,-0.061365001702414615,0.14938990606147684,0.4130101316600988,5497,0.8948552852635475
R,q12_voice,attitudes,trend,food-cash,HC3,0.024792853251052602,0.05641892853173558,-0.0857862147174884,0.1353719212195936,0.6603412165060738,5497,
R,q12_voice,attitudes,trend,medical-cash,HC3,0.0688053054305837,0.054175172943371784,-0.03737608239465379,0.1749866932558212,0.2040659851240233,5497,
R,q12_voice,attitudes,trend,medical-food,HC3,0.044012452179531106,0.05394905670699466,-0.06172575596608748,0.1497506603251497,0.41460592647526684,5497,
R,q16_fut_society,attitudes,trend,food-cash,HC1,0.03614999963989696,0.05434477766798422,-0.07036380733718874,0.14266380661698264,0.5059243040775199,5497,0.8343873281313628
R,q16_fut_society,attitudes,trend,medical-cash,HC1,0.002493514284937741,0.05407542425905585,-0.10349236971153526,0.10847939828141075,0.9632211536999347,5497,0.992901332758698
R,q16_fut_society,attitudes,trend,medical-food,HC1,-0.033656485354959215,0.05383423976354781,-0.139169656426607,0.07185668571668856,0.5318481075519248,5497,0.9039581200139347
R,q16_fut_society,attitudes,trend,food-cash,HC3,0.03614999963989696,0.054554059972211105,-0.07077399311607499,0.1430739923958689,0.5075576539736398,5497,
R,q16_fut_society,attitudes,trend,medical-cash,HC3,0.002493514284937741,0.05429530684706843,-0.10392333166486738,0.10891036023474286,0.9633699940499214,5497,
R,q16_fut_society,attitudes,trend,medical-food,HC3,-0.033656485354959215,0.05405735604325805,-0.13960695629920364,0.07229398558928521,0.5335428455700859,5497,
R,q17d_fut_fair,attitudes,trend,food-cash,HC1,0.07863011287461225,0.054961561874902885,-0.029092568934267135,0.18635279468349164,0.15253391817576076,5497,0.8343873281313628
R,q17d_fut_fair,attitudes,trend,medical-cash,HC1,0.08899856841451748,0.053471666865414304,-0.01580397283501833,0.19380110966405328,0.09603130222405808,5497,0.4161356429709184
R,q17d_fut_fair,attitudes,trend,medical-food,HC1,0.01036845553990523,0.05238431483277196,-0.09230291488713514,0.1130398259669456,0.8430994121057378,5497,0.9047896944724323
R,q17d_fut_fair,attitudes,trend,food-cash,HC3,0.07863011287461225,0.05515883347776731,-0.029479214171053897,0.1867394399202784,0.15400645822111841,5497,
R,q17d_fut_fair,attitudes,trend,medical-cash,HC3,0.08899856841451748,0.053657539473725396,-0.01616827645302059,0.19416541328205555,0.09718825444767033,5497,
R,q17d_fut_fair,attitudes,trend,medical-food,HC3,0.01036845553990523,0.05256610340531217,-0.09265921394211492,0.11339612502192538,0.8436350064418908,5497,
R,q21_order,attitudes,trend,food-cash,HC1,0.018020411008204222,0.05430332695872184,-0.08841215407159356,0.12445297608800202,0.7400045857021796,5497,0.8343873281313628
R,q21_order,attitudes,trend,medical-cash,HC1,0.043276515804649404,0.05242741295081037,-0.05947932538154771,0.14603235699084652,0.4091128264904431,5497,0.70658200779994
R,q21_order,attitudes,trend,medical-food,HC1,0.025256104796445182,0.05179436515214224,-0.07625898550387003,0.1267711950967604,0.6258171600096472,5497,0.9039581200139347
R,q21_order,attitudes,trend,food-cash,HC3,0.018020411008204222,0.05454113638954329,-0.0888782519911876,0.12491907400759603,0.7410974707946386,5497,
R,q21_order,attitudes,trend,medical-cash,HC3,0.043276515804649404,0.052636899183589235,-0.05988991085305127,0.14644294246235007,0.410979756751495,5497,
R,q21_order,attitudes,trend,medical-food,HC3,0.025256104796445182,0.05200323625511909,-0.07666836534311583,0.12718057493600618,0.6272053428154263,5497,
R,q22_vitality,attitudes,trend,food-cash,HC1,0.006028433784862807,0.05597509588870057,-0.10368073818816635,0.11573760575789198,0.9142348605498374,5497,0.9142348605498374
R,q22_vitality,attitudes,trend,medical-cash,HC1,-0.006106591981515977,0.05342303749531945,-0.11081382141707499,0.09860063745404304,0.908994955459094,5497,0.992901332758698
R,q22_vitality,attitudes,trend,medical-food,HC1,-0.012135025766378784,0.053462508508637756,-0.11691961696647499,0.09264956543371741,0.820437758306353,5497,0.9047896944724323
R,q22_vitality,attitudes,trend,food-cash,HC3,0.006028433784862807,0.05622156181815363,-0.10416380253331055,0.11622067010303617,0.9146093986805314,5497,
R,q22_vitality,attitudes,trend,medical-cash,HC3,-0.006106591981515977,0.05364606978181557,-0.111250956665997,0.09903777270296506,0.909371672061502,5497,
R,q22_vitality,attitudes,trend,medical-food,HC3,-0.012135025766378784,0.053682167555425354,-0.11735014078705708,0.0930800892542995,0.8211600433072601,5497,
R,q43_edu,objective,trend,food-cash,HC1,0.04706039875310913,0.053025713535750044,-0.056868090031499,0.15098888753771725,0.3748089746880554,5497,0.8550985462086803
R,q43_edu,objective,trend,medical-cash,HC1,-0.10197506404613807,0.0529953107725186,-0.2058439645097821,0.0018938364175059424,0.05432600336524848,5497,0.07243467115366464
R,q43_edu,objective,trend,medical-food,HC1,-0.1490354627992472,0.051113689650183924,-0.2492164536305654,-0.048854471967929,0.003548186325933098,5497,0.007096372651866196
R,q43_edu,objective,trend,food-cash,HC3,0.04706039875310913,0.05317670257414113,-0.05716402310880587,0.15128482061502413,0.37616660173942174,5497,
