panel,form_vs_cash,bin_left,bin_right,count,share,N,predicted_positive_N,predicted_positive_share,predicted_advantage_mean,predicted_p05,predicted_p50,predicted_p95,positive_subgroup_DR_contrast,contrast_lo,contrast_hi,population_contribution,contribution_lo,contribution_hi,policy,selected_form,selected_N,assignment_share,selected_DR_contrast,selected_lo,selected_hi,contribution,seed,estimator,medical_selected_N,medical_selected_share,all_cash_value,policy_value,gain_vs_cash,gain_lo,gain_hi,status
A,food,-0.0609595971051297,-0.0507996642542747,371.0,0.0674913589230489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0507996642542747,-0.0406397314034198,399.0,0.0725850463889394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0406397314034198,-0.0304797985525648,481.0,0.0875022739676187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0304797985525648,-0.0203198657017099,490.0,0.0891395306530835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0203198657017099,-0.0101599328508549,555.0,0.1009641622703292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0101599328508549,0.0,481.0,0.0875022739676187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0,0.0101599328508549,479.0,0.0871384391486265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0101599328508549,0.0203198657017099,409.0,0.0744042204839003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0203198657017099,0.0304797985525648,286.0,0.0520283791158813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0304797985525648,0.0406397314034198,217.0,0.0394760778606512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0406397314034198,0.0507996642542747,133.0,0.0241950154629798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0507996642542747,0.0609595971051297,122.0,0.0221939239585228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0609595971051297,0.0711195299559846,74.0,0.0134618883027105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0711195299559846,0.0812794628068395,42.0,0.0076405311988357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0812794628068395,0.0914393956576945,24.0,0.0043660178279061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.0914393956576945,0.1015993285085494,21.0,0.0038202655994178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1015993285085494,0.1117592613594044,12.0,0.002183008913953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1117592613594044,0.1219191942102593,7.0,0.0012734218664726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1219191942102593,0.1320791270611143,6.0,0.0010915044569765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1320791270611143,0.1422390599119692,7.0,0.0012734218664726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1422390599119692,0.1523989927628242,4.0,0.0007276696379843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1523989927628242,0.1625589256136791,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1625589256136791,0.1727188584645341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1727188584645341,0.1828787913153891,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.1828787913153891,0.193038724166244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.193038724166244,0.203198657017099,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.203198657017099,0.2133585898679539,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.2133585898679539,0.2235185227188089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.2235185227188089,0.2336784555696638,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.2336784555696638,0.2438383884205188,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,0.2438383884205188,0.2539983212713738,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.2539983212713738,-0.2438383884205188,1.0,0.000181917409496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.2438383884205188,-0.2336784555696638,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.2336784555696638,-0.2235185227188089,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.2235185227188089,-0.2133585898679539,3.0,0.0005457522284882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.2133585898679539,-0.203198657017099,6.0,0.0010915044569765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.203198657017099,-0.193038724166244,10.0,0.0018191740949608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.193038724166244,-0.1828787913153891,8.0,0.0014553392759687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1828787913153891,-0.1727188584645341,31.0,0.0056394396943787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1727188584645341,-0.1625589256136792,26.0,0.0047298526468983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1625589256136792,-0.1523989927628242,53.0,0.0096416227032927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1523989927628242,-0.1422390599119693,66.0,0.0120065490267418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1422390599119693,-0.1320791270611143,97.0,0.0176459887211206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1320791270611143,-0.1219191942102594,160.0,0.0291067855193742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1219191942102594,-0.1117592613594044,178.0,0.0323812988903038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1117592613594044,-0.1015993285085495,211.0,0.0383845734036747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.1015993285085495,-0.0914393956576945,247.0,0.0449336001455339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0914393956576945,-0.0812794628068396,329.0,0.0598508277242132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0812794628068396,-0.0711195299559846,380.0,0.0691286156085137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0711195299559846,-0.0609595971051297,411.0,0.0747680553028924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0609595971051297,-0.0507996642542747,421.0,0.0765872293978533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0507996642542747,-0.0406397314034198,424.0,0.0771329816263416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0406397314034198,-0.0304797985525648,439.0,0.0798617427687829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0304797985525648,-0.0203198657017099,404.0,0.0734946334364198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0203198657017099,-0.0101599328508549,380.0,0.0691286156085137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,-0.0101599328508549,0.0,317.0,0.0576678188102601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0,0.0101599328508549,274.0,0.0498453702019283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0101599328508549,0.0203198657017099,195.0,0.0354738948517373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0203198657017099,0.0304797985525648,157.0,0.0285610332908859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0304797985525648,0.0406397314034198,97.0,0.0176459887211206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0406397314034198,0.0507996642542747,56.0,0.0101873749317809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0507996642542747,0.0609595971051297,48.0,0.0087320356558122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0609595971051297,0.0711195299559846,28.0,0.0050936874658904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0711195299559846,0.0812794628068395,17.0,0.0030925959614335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0812794628068395,0.0914393956576945,7.0,0.0012734218664726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.0914393956576945,0.1015993285085494,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1015993285085494,0.1117592613594044,3.0,0.0005457522284882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1117592613594044,0.1219191942102593,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1219191942102593,0.1320791270611143,3.0,0.0005457522284882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1320791270611143,0.1422390599119692,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1422390599119692,0.1523989927628242,1.0,0.000181917409496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1523989927628242,0.1625589256136791,1.0,0.000181917409496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1625589256136791,0.1727188584645341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1727188584645341,0.1828787913153891,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.1828787913153891,0.193038724166244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.193038724166244,0.203198657017099,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.203198657017099,0.2133585898679539,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.2133585898679539,0.2235185227188089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.2235185227188089,0.2336784555696638,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.2336784555696638,0.2438383884205188,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,medical,0.2438383884205188,0.2539983212713738,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,food,,,,,5497.0,1845.0,0.3356376205202838,-0.018251650890399,-0.09003045347863,-0.0178624833644761,0.0537819607381439,-0.0246531523850956,-0.053884621962594,0.0043693086805912,-0.0082745254048574,-0.0181840469718677,0.0014772854533539,,,,,,,,,,,,,,,,,,
B,medical,,,,,5497.0,893.0,0.1624522466800072,-0.0496495977390029,-0.1345912478767668,-0.0479189302357362,0.0299714466678513,-0.0250480077440715,-0.0689425427105565,0.0190114098820965,-0.0040691051328826,-0.0111074438376951,0.003101060142354,,,,,,,,,,,,,,,,,,
C,,,,,,5497.0,,,,,,,,,,,-0.0153894225189937,0.0039960287867618,ml_argmax,food,1626.0,0.2957977078406403,-0.0189027936415418,-0.0518685218082747,0.0131122782414712,-0.0055914030309527,,,,,,,,,,
C,,,,,,5497.0,,,,,,,,,,,-0.0086866423495639,0.0020275898693268,ml_argmax,medical,553.0,0.1006003274513371,-0.0312206239871875,-0.0859654045467455,0.0205175881369078,-0.0031408049963461,,,,,,,,,,
C,,,,,,5497.0,,,,,,,,,,,-0.0191474609427539,0.0019498141415701,ml_argmax,total,2179.0,0.3963980352919774,,,,-0.0087322080272988,,,,,,,,,,
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260921.0,DR,318.0,0.2634631317315659,0.2226717473585527,0.2336621667231487,0.010990419364596,-0.0025720140412373,0.0249481750499893,exploratory RMB1000 Cash-Medical two-arm stress test
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260921.0,IPW,318.0,0.2634631317315659,0.2236122618061309,0.2308616404308202,0.0072493786246893,-0.0097359154929577,0.0247317729908864,exploratory RMB1000 Cash-Medical two-arm stress test
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260922.0,DR,311.0,0.2576636288318144,0.2244157624629025,0.2330264041765856,0.0086106417136831,-0.0047664903908672,0.0233087364346425,exploratory RMB1000 Cash-Medical two-arm stress test
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260922.0,IPW,311.0,0.2576636288318144,0.2236122618061309,0.2352526926263463,0.0116404308202154,-0.0051791632145816,0.0289591963545981,exploratory RMB1000 Cash-Medical two-arm stress test
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260923.0,DR,319.0,0.2642916321458161,0.2234993321475544,0.2360200291026626,0.0125206969551081,-0.0007500866740149,0.0266585426435524,exploratory RMB1000 Cash-Medical two-arm stress test
D,,,,,,1207.0,,,,,,,,,,,,,,,,,,,,,20260923.0,IPW,319.0,0.2642916321458161,0.2236122618061309,0.2431234465617232,0.0195111847555923,0.002649130074565,0.0377423363711681,exploratory RMB1000 Cash-Medical two-arm stress test
