"variable","label","coding","missing coding","nonmissing N","missing N","observed values (abridged)"
"q17c_fut_price","Q17-3 price outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q17d_fut_fair","Q17-4 fairness outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q17e_fut_welfare","Q17-5 welfare outlook 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q18_ses_now","Q18 current SES 1-10","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q19_ses_past5","Q19 past SES change 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q20_ses_next1","Q20 future SES change 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q21_order","Q21 social order 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q22_vitality","Q22 social vitality 0-10","integer 0-10","Stata system missing (.)","5497","0","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
"q23_hukou","Q23 hukou: agricultural/non-agricultural/other","integer 1-3 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0]"
"q24_workstat","Q24 work status (5 categories)","integer 1-5 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0]"
"q25_unittype","Q25 unit type (8 categories)","integer 1-8 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
"q26_housing","Q26 housing: own/rent/other","integer 1-3 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0]"
"q27_minorchild","Q27 minor child: yes/no","integer 1-2 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0]"
"q28_hhsize","Q28 household size: 1..5, 6+","integer 1-6 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q29_foodexp","Q29 monthly food spending band (6)","integer 1-6 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q30_medexp","Q30 annual OOP medical spending band (6)","integer 1-6 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q31_gotsubsidy","Q31 prior subsidy: yes/no/don't remember","integer 1-3 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0]"
"q32_cash200","Q32 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","619","4878","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q33_cash1k","Q33 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","595","4902","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q34_cash5k","Q34 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","584","4913","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q35_vouch200","Q35 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","614","4883","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q36_vouch1k","Q36 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","620","4877","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q37_vouch5k","Q37 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","602","4895","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q38_med200","Q38 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","615","4882","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q39_med1k","Q39 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","612","4885","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q40_med5k","Q40 randomized scenario outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","636","4861","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"scen_version","Delivered scenario version 1-9","1-9, Q32-Q40","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]"
"scen_type","Delivered transfer type 1-3","1=cash, 2=food voucher, 3=medical account","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0]"
"scen_amount","Delivered amount RMB","200/1000/5000 RMB","Stata system missing (.)","5497","0","[200.0, 1000.0, 5000.0]"
"scen_mpc","Delivered merged outcome 1-6","1=none, 2=<10%, 3=10-25%, 4=25-50%, 5=50-75%, 6=>75%","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
"q41_gender","Q41 gender","integer 1-2 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0]"
"q42_age","Q42 age in years","age in years","Stata system missing (.)","5497","0","[14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0]..."
"q43_edu","Q43 education (5)","integer 1-5 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0]"
"q44_industry","Q44 platform industry code","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]..."
"q45_occup","Q45 platform occupation code","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]..."
"q46_income","Q46 platform monthly-income band","integer 1-16 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]"
"q47_province","Q47 platform province code","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","[11.0, 12.0, 13.0, 14.0, 15.0, 21.0, 22.0, 23.0, 31.0, 32.0, 33.0, 34.0]..."
"q48_city","Q48 platform city code","platform code or numeric; see questionnaire/delivery labels","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0]..."
"q49_citytier","Q49 platform city tier","integer 1-6 (see questionnaire)","Stata system missing (.)","5497","0","[1.0, 2.0, 3.0, 4.0, 5.0]"
