contrast,feature_set,method,quintile,N,N_treated,N_control,predicted_cate,effect_ord,se,lo,hi
medical-cash,O,t_rf,4,732,353,379,-0.018709444493603695,-0.27780726079514473,0.11168965160527403,-0.4967189779414818,-0.05889554364880764
medical-cash,O,t_rf,5,732,363,369,0.020502786443514495,-0.28101413245537454,0.11833202351881641,-0.5129448985522547,-0.04908336635849436
medical-cash,S,t_rf,1,733,375,358,-0.11467031515806365,-0.30340409683426417,0.11795270443686064,-0.534591397530511,-0.07221679613801732
medical-cash,S,t_rf,2,733,374,359,-0.07101515412552355,-0.23828072631939579,0.11517299443087665,-0.464019795403914,-0.012541657234877546
medical-cash,S,t_rf,3,731,346,385,-0.045773912526066635,-0.28324450116357625,0.11073339911989469,-0.5002819634385698,-0.06620703888858268
medical-cash,S,t_rf,4,749,384,365,-0.023303809969362134,-0.2614511986301369,0.11092802830346776,-0.47887013410493373,-0.04403226315534006
medical-cash,S,t_rf,5,715,384,331,0.01660030078363377,-0.47697161379657604,0.11318427655825418,-0.6988127958507542,-0.25513043174239786
medical-cash,A,t_rf,1,733,371,362,-0.1278499612628761,-0.696490000148918,0.11645204217325537,-0.9247360028084985,-0.46824399748933754
medical-cash,A,t_rf,2,732,398,334,-0.08030236833333505,-0.4349291367014714,0.11849732261221023,-0.6671838890214035,-0.20267438438153934
medical-cash,A,t_rf,3,732,368,364,-0.04655546624736357,-0.15686215957955074,0.1114254277599805,-0.3752559979891125,0.06153167883001104
medical-cash,A,t_rf,4,732,362,370,-0.016365335377816873,-0.044646856801553,0.11433686996358096,-0.2687471219301717,0.17945340832706566
medical-cash,A,t_rf,5,732,364,368,0.02635032102756495,-0.22264691829909244,0.10656852205533035,-0.4315212215275399,-0.01377261507064495
medical-cash,ALL,t_rf,1,733,377,356,-0.1290635844834459,-0.7329076386612225,0.11851530158741225,-0.9651976297725505,-0.5006176475498946
medical-cash,ALL,t_rf,2,732,384,348,-0.07699895357468796,-0.2781968390804601,0.11332116802756377,-0.5003063284144851,-0.05608734974643512
medical-cash,ALL,t_rf,3,732,367,365,-0.046259307389728596,-0.1425777313276848,0.11001229733029085,-0.35820183409505485,0.07304637143968523
medical-cash,ALL,t_rf,4,732,365,367,-0.017384188312982492,-0.15267067298719716,0.10861590177035167,-0.36555784045708645,0.06021649448269212
medical-cash,ALL,t_rf,5,732,370,362,0.025068249623037348,-0.2552784829027921,0.11581990297988229,-0.4822854927433614,-0.0282714730622228
medical-cash,ALL,dr_rf,1,733,374,359,-0.13591524994322304,-0.440059285299331,0.11891049105776497,-0.6731238477725503,-0.2069947228261117
medical-cash,ALL,dr_rf,2,732,380,352,-0.07799081858717709,-0.3685705741626797,0.11681950132173491,-0.5975367967532801,-0.13960435157207926
medical-cash,ALL,dr_rf,3,732,374,358,-0.047004132188885384,-0.4523645923580202,0.10971378053863472,-0.6674036022137442,-0.23732558250229613
medical-cash,ALL,dr_rf,4,732,367,365,-0.018056655551285928,-0.07429360606173718,0.10832117328756308,-0.28660310570536085,0.13801589358188646
medical-cash,ALL,dr_rf,5,732,368,364,0.025897994203320524,-0.22291567128523626,0.11341948467906814,-0.44521786125620977,-0.000613481314262726
restricted-cash,O,t_rf,1,1100,738,362,-0.10222362845474439,-0.45181092694904823,0.10256265664953236,-0.6528337339821316,-0.25078811991596484
restricted-cash,O,t_rf,2,1100,746,354,-0.057942200154983615,-0.22910134654125214,0.0963935925725709,-0.4180327879834911,-0.04016990509901319
restricted-cash,O,t_rf,3,1098,740,358,-0.032851346013682226,-0.15696059187679268,0.09389330920067385,-0.3409914779101134,0.027070294156528063
restricted-cash,O,t_rf,4,1099,727,372,-0.008671885397663844,-0.15565884249604345,0.10194713230945471,-0.3554752218225747,0.04415753683048779
restricted-cash,O,t_rf,5,1100,748,352,0.03189259175368805,-0.09090909090909083,0.10504796497055896,-0.2968031022513864,0.11498492043320474
restricted-cash,S,t_rf,1,1100,741,359,-0.09104853475340899,-0.18068634195301803,0.10566079042572132,-0.3877814911874318,0.026408807281395774
restricted-cash,S,t_rf,2,1099,745,354,-0.052790035782401636,-0.15706214689265519,0.09837915164928734,-0.3498852841252584,0.03576099033994801
restricted-cash,S,t_rf,3,1099,735,364,-0.03230904639625772,-0.09654631083202547,0.09583446887954557,-0.2843818698359348,0.09128924817188383
restricted-cash,S,t_rf,4,1099,737,362,-0.0135557451965855,-0.24256917321978744,0.10046059175984061,-0.43947193306907506,-0.04566641337049984
restricted-cash,S,t_rf,5,1100,741,359,0.019286987980260385,-0.40636195158992416,0.10137696880272247,-0.6050608104432602,-0.20766309273658812
restricted-cash,A,t_rf,1,1100,755,345,-0.10074107891304925,-0.2976101353296863,0.10528616574029831,-0.503971020180671,-0.09124925047870158
restricted-cash,A,t_rf,2,1099,762,337,-0.0573549690242477,-0.2092805906680062,0.10670239001177635,-0.41841727509108784,-0.00014390624492455206
restricted-cash,A,t_rf,3,1099,714,385,-0.03223785087989076,-0.07924624395212643,0.1006808102477501,-0.2765806320377166,0.11808814413346375
restricted-cash,A,t_rf,4,1099,739,360,-0.009988797959561072,-0.2778153661103593,0.09658339034788638,-0.46711881119221654,-0.088511921028502
restricted-cash,A,t_rf,5,1100,729,371,0.026103177511234688,-0.23485260242772465,0.09415183316540623,-0.4193901954319209,-0.05031500942352843
restricted-cash,ALL,t_rf,1,1100,744,356,-0.10427749480592911,-0.2945813700616169,0.1077021116874019,-0.5056775089689246,-0.08348523115430917
restricted-cash,ALL,t_rf,2,1099,756,343,-0.058478738525000774,-0.29446064139941663,0.10236501454720329,-0.4950960699119351,-0.09382521288689818
restricted-cash,ALL,t_rf,3,1099,751,348,-0.03179168907552456,-0.3154912224313944,0.09728246257716441,-0.5061648490826366,-0.12481759578015214
restricted-cash,ALL,t_rf,4,1099,726,373,-0.008023228201369352,-0.12562131182652747,0.09580158059842016,-0.31339240979943095,0.062149786146376035
restricted-cash,ALL,t_rf,5,1100,722,378,0.02939771871658013,-0.059783962831053916,0.09920543777933545,-0.2542266208785514,0.13465869521644355
